fips_code,name,state,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
21179,Nelson County,KY,43629,44062,44401,44540,44858,45114,45497,45591,45813,46233
21181,Nicholas County,KY,7128,7088,7008,7008,7050,7059,7083,7160,7195,7269
21183,Ohio County,KY,6086,6052,6055,5986,5957,5877,5885,5854,5879,5875
21185,Oldham County,KY,60437,60772,62105,63062,63969,64556,65410,66557,66512,66799
21187,Owen County,KY,21566,21489,21368,21153,21019,20826,20898,20791,20862,20799
21189,Owsley County,KY,4748,4806,4681,4599,4502,4445,4472,4402,4474,4415
21191,Pendleton County,KY,14915,14662,14552,14565,14476,14487,14595,14602,14588,14590
21193,Perry County,KY,10563,10450,10163,9999,9801,9640,9532,9302,9070,8923
21195,Pike County,KY,32970,33025,33215,33715,33199,33496,33464,33349,33242,33114
21197,Powell County,KY,12643,12618,12471,12470,12349,12226,12266,12297,12371,12359
21199,Pulaski County,KY,383538,386990,389225,391512,392952,393576,394151,393280,391918,391911
21201,Robertson County,KY,2275,2290,2214,2214,2185,2134,2125,2120,2130,2108
21203,Rockcastle County,KY,17081,17108,17057,16742,16826,16932,16872,16778,16823,16695
21205,Rowan County,KY,23376,23558,23796,24210,24250,24642,24416,24514,24503,24460
21207,Russell County,KY,53321,54852,57500,59149,59224,58844,58185,56985,57784,57961
21209,Scott County,KY,11275,11264,11033,10934,10686,10561,10332,10369,10339,10281
21211,Shelby County,KY,196032,197952,200912,204039,206280,208959,211282,213633,215583,217702
21213,Simpson County,KY,17336,17302,17543,17681,17753,17901,17992,18046,18403,18572
21215,Spencer County,KY,20915,20969,20783,20762,20762,20640,20491,20440,20385,20277
21217,Taylor County,KY,22595,22662,22758,22873,22584,22355,22099,21781,21545,21569
21219,Todd County,KY,12432,12428,12618,12475,12429,12447,12357,12177,12306,12294
21221,Trigg County,KY,14322,14214,14410,14300,14131,14218,14302,14418,14658,14651
21223,Trimble County,KY,8812,8814,8844,8805,8722,8733,8596,8521,8468,8471
21225,Union County,KY,41573,41402,40861,40604,40136,40086,39879,39460,39139,38682
21227,Warren County,KY,5782,5677,5544,5518,5458,5374,5345,5265,5247,5254
21229,Washington County,KY,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
21231,Wayne County,KY,30074,30294,30320,29990,29891,29430,29974,29797,29810,29927
21233,Webster County,KY,2781,2764,2765,2669,2611,2631,2616,2589,2606,2607
21235,Whitley County,KY,33353,33358,33335,33283,33444,33444,33475,33722,34047,33964
21237,Wolfe County,KY,7361,7362,7194,7279,7252,7241,7189,7248,7199,7157
21239,Woodford County,KY,38661,38844,38837,39027,39052,38930,38913,38670,38527,38459
22001,Acadia Parish,LA,61877,61865,61997,62299,62667,62679,62786,62559,62214,62045
22003,Allen Parish,LA,25702,25740,25622,25664,25714,25631,25680,25583,25567,25627
22005,Ascension Parish,LA,107890,110075,112218,114636,117282,119374,121558,123177,124858,126604
22007,Assumption Parish,LA,23333,23185,23072,23199,23047,22898,22756,22568,22279,21891
22009,Avoyelles Parish,LA,42106,41795,41572,41275,41088,40979,40983,40836,40402,40144
22011,Beauregard Parish,LA,35831,36090,36333,36260,36239,36531,36973,36847,37369,37497
22013,Bienville Parish,LA,14306,14261,14192,13961,13782,13823,13780,13631,13343,13241
22015,Bossier Parish,LA,117675,120134,123160,124021,124868,125554,125920,126959,127022,127039
22017,Caddo Parish,LA,255590,256967,257252,255127,252605,251345,248837,245935,242833,240204
22019,Calcasieu Parish,LA,193026,193861,194479,195492,196570,198450,200568,202466,203177,203436
22021,Caldwell Parish,LA,10148,10123,10042,9984,9950,10045,10074,9959,9964,9918
22023,Cameron Parish,LA,6917,6673,6631,6713,6726,6825,6896,6944,7013,6973
22025,Catahoula Parish,LA,10377,10286,10240,10251,10129,10029,9869,9830,9606,9494
22027,Claiborne Parish,LA,17175,16940,16868,16662,16402,16261,16146,15953,15895,15670
